"Site Crawled","http://localhost:3000/"
"Date","2026-02-21"
"Time","12:33:39"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","50","100,00%","50","URLs Encountered"
"Total URLs Crawled","49","98,00%","50","URLs Encountered"
"Total Internal blocked by robots.txt","0","0,00%","50","URLs Encountered"
"Total External blocked by robots.txt","1","2,00%","50","URLs Encountered"
""
"URLs Displayed","50","100,00%","50","URLs Displayed"
"Total Internal URLs","47","94,00%","50","URLs Displayed"
"Total External URLs","3","6,00%","50","URLs Displayed"
"Total Internal Indexable URLs","47","94,00%","50","URLs Displayed"
"Total Internal Non-Indexable URLs","0","0,00%","50","URLs Displayed"
""
"Internal"
"All","47","100,00%","47","Internal URLs"
"HTML","10","21,28%","47","Internal URLs"
"JavaScript","35","74,47%","47","Internal URLs"
"CSS","1","2,13%","47","Internal URLs"
"Images","1","2,13%","47","Internal URLs"
"PDF","0","0,00%","47","Internal URLs"
"Flash","0","0,00%","47","Internal URLs"
"Other","0","0,00%","47","Internal URLs"
"Unknown","0","0,00%","47","Internal URLs"
""
"External"
"All","3","100,00%","3","External URLs"
"HTML","1","33,33%","3","External URLs"
"JavaScript","0","0,00%","3","External URLs"
"CSS","0","0,00%","3","External URLs"
"Images","1","33,33%","3","External URLs"
"PDF","0","0,00%","3","External URLs"
"Flash","0","0,00%","3","External URLs"
"Other","0","0,00%","3","External URLs"
"Unknown","1","33,33%","3","External URLs"
""
"Security"
"All","47","100,00%","47","All internal and non-HTML external URLs"
"HTTP URLs","47","100,00%","47","All internal and non-HTML external URLs"
"HTTPS URLs","0","0,00%","47","All internal and non-HTML external URLs"
"Mixed Content","0","0,00%","47","All internal and non-HTML external URLs"
"Form URL Insecure","0","0,00%","47","All internal and non-HTML external URLs"
"Form on HTTP URL","1","2,13%","47","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","8","17,02%","47","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0,00%","47","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0,00%","47","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","47","100,00%","47","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","0","0,00%","47","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","0","0,00%","47","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","47","100,00%","47","All internal and non-HTML external URLs"
"Bad Content Type","0","0,00%","47","All internal and non-HTML external URLs"
""
"Response Codes"
"All","50","100,00%","50","All Crawled URLs"
"Blocked by Robots.txt","1","2,00%","50","All Crawled URLs"
"Blocked Resource","0","0,00%","50","All Crawled URLs"
"No Response","0","0,00%","50","All Crawled URLs"
"Success (2xx)","49","98,00%","50","All Crawled URLs"
"Redirection (3xx)","0","0,00%","50","All Crawled URLs"
"Redirection (JavaScript)","0","0,00%","50","All Crawled URLs"
"Redirection (Meta Refresh)","0","0,00%","50","All Crawled URLs"
"Client Error (4xx)","0","0,00%","50","All Crawled URLs"
"Server Error (5xx)","0","0,00%","50","All Crawled URLs"
""
"URL"
"All","47","100,00%","47","Internal URLs"
"Non ASCII Characters","0","0,00%","47","Internal URLs"
"Underscores","0","0,00%","47","Internal URLs"
"Uppercase","0","0,00%","47","Internal URLs"
"Multiple Slashes","0","0,00%","47","Internal URLs"
"Repetitive Path","0","0,00%","47","Internal URLs"
"Contains Space","0","0,00%","47","Internal URLs"
